CUE_NUMBER,Track,CUE_NAME,Media,Filesets
103,2_act1,Audition,"050-013-c01-papertexture3.mov v001,050-105-c02-woodtexture02.mov v003,102-015-c00-paintedbeach1_ac.mov v002,108-031-c13-theater_postersbase.mov v005,108-031-c21-theater_postersbase.mov v005,108-031-c22-theater_postersbase.mov v006","050-013-papertexture3,050-105-woodtexture02,102-015-paintedbeach1_ac,108-031-theater_postersbase"
105,2_act1,Red Shift,"050-013-c01-papertexture3.mov v001,050-105-c02-woodtexture02.mov v003,090-001-c00-white_square_hard.png v001,102-015-c00-paintedbeach1_ac.mov v002,108-031-c13-theater_postersbase.mov v005,108-031-c21-theater_postersbase.mov v005,108-031-c22-theater_postersbase.mov v006","050-013-papertexture3,050-105-woodtexture02,090-001-white_square_hard,102-015-paintedbeach1_ac,108-031-theater_postersbase"
106,2_act1,OUT,"050-013-c01-papertexture3.mov v001,050-105-c02-woodtexture02.mov v003,090-001-c00-white_square_hard.png v001,102-015-c02-paintedbeach1_ac.mov v002,103-096-c02-squareprosc_vaud_scallopslowernarrower.mov v001,108-031-c13-theater_postersbase.mov v005,108-031-c21-theater_postersbase.mov v005,108-031-c22-theater_postersbase.mov v006","050-013-papertexture3,050-105-woodtexture02,090-001-white_square_hard,102-015-paintedbeach1_ac,103-096-squareprosc_vaud_scallopslowernarrower,108-031-theater_postersbase"
109,2_act1,John's Cabin - HORIZON MISMATCH?,"050-105-c04-woodtexture02.mov v001,111-030-c00-paintedbeach2_johnscabinnight.mov v002,111-055-c12-johnscabin02.mov v001","050-105-woodtexture02,111-030-paintedbeach2_johnscabinnight,111-055-johnscabin02"
111,2_act1,Beach Haven Dawn,"050-105-c04-woodtexture02.mov v001,112-022-c00-paintedbeach1_lesssat.mov v001,112-023-c00-paintedbeach1_lesssat_cloudcolor.mov v001,050-105-c02-woodtexture02.mov v003,112-023-c02-paintedbeach1_lesssat_cloudcolor.mov v002","050-105-woodtexture02,112-022-paintedbeach1_lesssat,112-023-paintedbeach1_lesssat_cloudcolor"
114,2_act1,LAX Counter,"113-016-c13-lax_counter_bright.mov v009,113-016-c14-lax_counter_bright.mov v004",113-016-lax_counter_bright
116,2_act1,Transition (Flippy),"113-016-c13-lax_counter_bright.mov v009,113-019-c13-lax_counter_bright_negative.mov v001,114-301-c13-penn_bway_opt1.mov v001,209-021-c13-flippytransition_laxtograduation.mov v004,113-016-c14-lax_counter_bright.mov v004,113-019-c14-lax_counter_bright_negative.mov v001,114-301-c14-penn_bway_opt1.mov v002,209-021-c14-flippytransition_laxtograduation.mov v004,114-111-c22-penn_new.mov v004,209-021-c22-flippytransition_laxtograduation.mov v003","113-016-lax_counter_bright,113-019-lax_counter_bright_negative,114-301-penn_bway_opt1,209-021-flippytransition_laxtograduation,114-111-penn_new"
118,2_act1,Ramrod,"114-171-c04-ramrodhaze.mov v001,114-161-c04-ramrodwall.mov v002,114-165-c04-ramrodwall_curtain.mov v002,114-181-c04-ramrod_lx.mov v002,114-125-c13-ramrod_clear.mov v002,114-301-c13-penn_bway_opt1.mov v001,114-125-c14-ramrod_clear.mov v002,114-301-c14-penn_bway_opt1.mov v002,114-122-c22-ramrod_tritone_new.mov v004,114-131-c22-ombre_sides.mov v001","114-171-ramrodhaze,114-161-ramrodwall,114-165-ramrodwall_curtain,114-181-ramrod_lx,114-125-ramrod_clear,114-301-penn_bway_opt1,114-122-ramrod_tritone_new,114-131-ombre_sides"
122,2_act1,Panel Split,"114-171-c04-ramrodhaze.mov v001,114-161-c04-ramrodwall.mov v002,114-165-c04-ramrodwall_curtain.mov v002,114-181-c04-ramrod_lx.mov v002,114-301-c14-penn_bway_opt1.mov v002,114-125-c14-ramrod_clear.mov v002,114-111-c22-penn_new.mov v004,114-122-c22-ramrod_tritone_new.mov v004,114-131-c22-ombre_sides.mov v001","114-171-ramrodhaze,114-161-ramrodwall,114-165-ramrodwall_curtain,114-181-ramrod_lx,114-301-penn_bway_opt1,114-125-ramrod_clear,114-111-penn_new,114-122-ramrod_tritone_new,114-131-ombre_sides"
123,2_act1,Size D Letters - SHOULD TIMING BE 0.8?,"090-452-c00-a_black_square_soft.png v001,114-205-c01-dletters_01.mov v008,050-014-c11-papertexture4.mov v001,080-012-c11-wipe_down.mov v003,114-205-c11-dletters_01.mov v003,050-014-c12-papertexture4.mov v001,080-012-c12-wipe_down.mov v003,114-205-c12-dletters_01.mov v003,050-014-c13-papertexture4.mov v001,080-012-c13-wipe_down.mov v003,114-205-c13-dletters_01.mov v002,050-014-c14-papertexture4.mov v001,114-205-c14-dletters_01.mov v001,114-205-c21-dletters_01.mov v003,080-016-c22-wipeout_barndoor_soft.mov v002,114-205-c22-dletters_01.mov v001","090-452-a_black_square_soft,114-205-dletters_01,050-014-papertexture4,080-012-wipe_down,080-016-wipeout_barndoor_soft"
126,2_act1,Littles Wedding,"090-603-c00-a_white320_square_supersoft.png v001,090-452-c00-a_black_square_soft.png v001,115-131-c11-roseplan_1.mov v001,115-221-c11-planning_grandient.mov v001,115-131-c12-roseplan_1.mov v001,115-221-c12-planning_grandient.mov v001,115-131-c13-roseplan_1.mov v001,115-221-c13-planning_grandient.mov v001,115-131-c14-roseplan_1.mov v001,115-221-c14-planning_grandient.mov v001,115-131-c21-roseplan_1.mov v001,115-221-c21-planning_grandient.mov v001","090-603-a_white320_square_supersoft,090-452-a_black_square_soft,115-131-roseplan_1,115-221-planning_grandient"
126.5,2_act1,CC Entrance,"090-603-c00-a_white320_square_supersoft.png v001,090-452-c00-a_black_square_soft.png v001,115-131-c11-roseplan_1.mov v001,115-142-c11-leonaplan_animated.mov v001,115-221-c11-planning_grandient.mov v001,115-131-c12-roseplan_1.mov v001,115-142-c12-leonaplan_animated.mov v001,115-221-c12-planning_grandient.mov v001,115-131-c13-roseplan_1.mov v001,115-142-c13-leonaplan_animated.mov v001,115-221-c13-planning_grandient.mov v001,115-131-c14-roseplan_1.mov v001,115-142-c14-leonaplan_animated.mov v001,115-221-c14-planning_grandient.mov v001,115-131-c21-roseplan_1.mov v001,115-142-c21-leonaplan_animated.mov v001,115-221-c21-planning_grandient.mov v001","090-603-a_white320_square_supersoft,090-452-a_black_square_soft,115-131-roseplan_1,115-142-leonaplan_animated,115-221-planning_grandient"
127,2_act1,Bertie Wedding,"050-105-c04-woodtexture02.mov v001,050-023-c11-papertexture13.mov v001,115-121-c11-weddings_ceremony_bway.mov v001,115-221-c11-planning_grandient.mov v001,050-023-c12-papertexture13.mov v001,115-121-c12-weddings_ceremony_bway.mov v001,115-221-c12-planning_grandient.mov v001,050-023-c13-papertexture13.mov v001,115-121-c13-weddings_ceremony_bway.mov v001,115-221-c13-planning_grandient.mov v001,050-023-c14-papertexture13.mov v001,115-121-c14-weddings_ceremony_bway.mov v001,115-221-c14-planning_grandient.mov v001,115-121-c21-weddings_ceremony_bway.mov v001,115-221-c21-planning_grandient.mov v001","050-105-woodtexture02,050-023-papertexture13,115-121-weddings_ceremony_bway,115-221-planning_grandient"
129,2_act1,Brightness Fade,"050-105-c04-woodtexture02.mov v001,050-023-c11-papertexture13.mov v001,115-015-c11-bertie_invitation_colorized.mov v001,115-221-c11-planning_grandient.mov v001,050-023-c12-papertexture13.mov v001,115-015-c12-bertie_invitation_colorized.mov v001,115-221-c12-planning_grandient.mov v001,050-023-c13-papertexture13.mov v001,115-122-c13-weddings_ceremony_colorized_bway.mov v001,115-221-c13-planning_grandient.mov v001,050-023-c14-papertexture13.mov v001,115-122-c14-weddings_ceremony_colorized_bway.mov v001,115-221-c14-planning_grandient.mov v001,115-015-c21-bertie_invitation_colorized.mov v001,115-221-c21-planning_grandient.mov v001","050-105-woodtexture02,050-023-papertexture13,115-015-bertie_invitation_colorized,115-221-planning_grandient,115-122-weddings_ceremony_colorized_bway"
131,2_act1,Liberachi,"050-105-c04-woodtexture02.mov v001,050-023-c11-papertexture13.mov v001,115-311-c11-bridalmags_fullstage.mov v005,050-023-c12-papertexture13.mov v001,115-310-c12-bridalmags.mov v002,050-023-c13-papertexture13.mov v001,115-311-c13-bridalmags_fullstage.mov v005,050-023-c14-papertexture13.mov v001,115-311-c14-bridalmags_fullstage.mov v002,105-108-c21-littles_juststars.mov v003","050-105-woodtexture02,050-023-papertexture13,115-311-bridalmags_fullstage,115-310-bridalmags,105-108-littles_juststars"
133,2_act1,CC Wedding,"050-106-c02-woodtexture03.mov v001,050-023-c11-papertexture13.mov v001,115-082-c11-ceecee_invitation_tropical_2.mov v001,115-221-c11-ceewedding_gradient.mov v001,050-023-c12-papertexture13.mov v001,115-082-c12-ceecee_invitation_tropical_2.mov v001,115-221-c12-ceewedding_gradient.mov v001,050-023-c13-papertexture13.mov v001,115-082-c13-ceecee_invitation_tropical_2.mov v001,115-221-c13-ceewedding_gradient.mov v001,050-023-c14-papertexture13.mov v001,115-082-c14-ceecee_invitation_tropical_2.mov v001,115-221-c14-ceewedding_gradient.mov v001,050-023-c21-papertexture13.mov v001,115-082-c21-ceecee_invitation_tropical_2.mov v003,115-221-c21-ceewedding_gradient.mov v001","050-106-woodtexture03,050-023-papertexture13,115-082-ceecee_invitation_tropical_2,115-221-ceewedding_gradient"
136,2_act1,Pre-DB Bright,"050-106-c02-woodtexture03.mov v001,050-023-c11-papertexture13.mov v001,115-086-c11-invitation_tropical_2_glow.mov v002,115-221-c11-ceewedding_gradient.mov v001,050-023-c12-papertexture13.mov v001,115-086-c12-invitation_tropical_2_glow.mov v002,115-221-c12-ceewedding_gradient.mov v001,050-023-c13-papertexture13.mov v001,115-086-c13-invitation_tropical_2_glow.mov v002,115-221-c13-ceewedding_gradient.mov v001,050-023-c14-papertexture13.mov v001,115-086-c14-invitation_tropical_2_glow.mov v002,115-221-c14-ceewedding_gradient.mov v001,050-023-c21-papertexture13.mov v001,115-086-c21-invitation_tropical_2_glow.mov v002,115-221-c21-ceewedding_gradient.mov v001","050-106-woodtexture03,050-023-papertexture13,115-086-invitation_tropical_2_glow,115-221-ceewedding_gradient"
137,2_act1,Wedding Dance (KF - Colour Shifts in Sliders),"050-106-c02-woodtexture03.mov v001,115-112-c02-ceecee_wedding_disco_2.mov v002,050-023-c11-papertexture13.mov v001,115-084-c11-invitation_tropical_2_colorization.mov v001,115-221-c11-ceewedding_gradient.mov v001,050-023-c12-papertexture13.mov v001,115-084-c12-invitation_tropical_2_colorization.mov v001,115-221-c12-ceewedding_gradient.mov v001,050-023-c13-papertexture13.mov v001,115-084-c13-invitation_tropical_2_colorization.mov v001,115-221-c13-ceewedding_gradient.mov v001,050-023-c14-papertexture13.mov v001,115-087-c14-invitation_tropical_2_lightercolorization.mov v001,115-221-c14-ceewedding_gradient.mov v001,050-023-c21-papertexture13.mov v001,115-087-c21-invitation_tropical_2_lightercolorization.mov v001,115-221-c21-ceewedding_gradient.mov v001","050-106-woodtexture03,115-112-ceecee_wedding_disco_2,050-023-papertexture13,115-084-invitation_tropical_2_colorization,115-221-ceewedding_gradient,115-087-invitation_tropical_2_lightercolorization"
143,2_act1,BLUE Button,"050-106-c02-woodtexture03.mov v001,050-023-c11-papertexture13.mov v001,115-311-c11-bridalmags_fullstage.mov v005,050-023-c12-papertexture13.mov v001,115-310-c12-bridalmags.mov v002,050-023-c13-papertexture13.mov v001,115-311-c13-bridalmags_fullstage.mov v005,050-023-c14-papertexture13.mov v001,115-311-c14-bridalmags_fullstage.mov v002,050-023-c21-papertexture13.mov v001,115-311-c21-bridalmags_fullstage.mov v002","050-106-woodtexture03,050-023-papertexture13,115-311-bridalmags_fullstage,115-310-bridalmags"
144,2_act1,BO,,
144.5,2_act1,Radio Transition,116-550-c01-limbotransition07.mov v004,116-550-limbotransition07
145,2_act1,Malibu,"050-105-c04-woodtexture02.mov v001,116-550-c01-limbotransition07.mov v004,111-032-c02-paintedbeach2_johnscabin_fitted.mov v006,116-011-c02-paintedbeach2_malibu.mov v003,070-011-c13-tightvign.mov v002,070-012-c13-softvign.mov v002,116-032-c13-deck_umbrella_stripe.mov v003,080-012-c13-wipe_down.mov v003","050-105-woodtexture02,116-550-limbotransition07,111-032-paintedbeach2_johnscabin_fitted,116-011-paintedbeach2_malibu,070-011-tightvign,070-012-softvign,116-032-deck_umbrella_stripe,080-012-wipe_down"
150,2_act1,Brighten CYC,"050-105-c04-woodtexture02.mov v001,111-032-c02-paintedbeach2_johnscabin_fitted.mov v006,116-011-c02-paintedbeach2_malibu.mov v003,070-011-c13-tightvign.mov v002,070-012-c13-softvign.mov v002,116-032-c13-deck_umbrella_stripe.mov v003,080-012-c13-wipe_down.mov v003","050-105-woodtexture02,111-032-paintedbeach2_johnscabin_fitted,116-011-paintedbeach2_malibu,070-011-tightvign,070-012-softvign,116-032-deck_umbrella_stripe,080-012-wipe_down"
151,2_act1,Bedroom,"050-105-c04-woodtexture02.mov v001,111-032-c02-paintedbeach2_johnscabin_fitted.mov v006,116-011-c02-paintedbeach2_malibu.mov v003,070-011-c13-tightvign.mov v002,070-012-c13-softvign.mov v002,116-032-c13-deck_umbrella_stripe.mov v003","050-105-woodtexture02,111-032-paintedbeach2_johnscabin_fitted,116-011-paintedbeach2_malibu,070-011-tightvign,070-012-softvign,116-032-deck_umbrella_stripe"
152,2_act1,RESTORE - Malibu,"090-051-c00-black_square_hard.png v001,050-105-c04-woodtexture02.mov v001,111-032-c02-paintedbeach2_johnscabin_fitted.mov v006,116-011-c02-paintedbeach2_malibu.mov v003,070-011-c13-tightvign.mov v002,070-012-c13-softvign.mov v002,116-032-c13-deck_umbrella_stripe.mov v003","090-051-black_square_hard,050-105-woodtexture02,111-032-paintedbeach2_johnscabin_fitted,116-011-paintedbeach2_malibu,070-011-tightvign,070-012-softvign,116-032-deck_umbrella_stripe"
153,2_act1,Bedroom,"050-105-c04-woodtexture02.mov v001,111-032-c02-paintedbeach2_johnscabin_fitted.mov v006,116-011-c02-paintedbeach2_malibu.mov v003,070-011-c13-tightvign.mov v002,070-012-c13-softvign.mov v002,116-032-c13-deck_umbrella_stripe.mov v003","050-105-woodtexture02,111-032-paintedbeach2_johnscabin_fitted,116-011-paintedbeach2_malibu,070-011-tightvign,070-012-softvign,116-032-deck_umbrella_stripe"
154,2_act1,Restore,"090-051-c00-black_square_hard.png v001,050-105-c04-woodtexture02.mov v001,111-032-c02-paintedbeach2_johnscabin_fitted.mov v006,116-011-c02-paintedbeach2_malibu.mov v003,070-011-c13-tightvign.mov v002,070-012-c13-softvign.mov v002,116-032-c13-deck_umbrella_stripe.mov v003","090-051-black_square_hard,050-105-woodtexture02,111-032-paintedbeach2_johnscabin_fitted,116-011-paintedbeach2_malibu,070-011-tightvign,070-012-softvign,116-032-deck_umbrella_stripe"
156,2_act1,BO,,
158,3_intermission,House,,
160,3_intermission,Fade UP Collage,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
162,3_intermission,,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
163,3_intermission,,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
164,3_intermission,Colour Shift 3,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
165,4_act2,HH Marquee,"201-010-c1a-hh_posters.mov v003,090-602-c00-a_white320_square_soft.png v001,201-005-c1a-hh_marquee.mov v003,201-019-c01-hh_ccurtains_transition.mov v002,201-013-c01-cpostersonly.mov v003,201-030-c1a-hh_vcurtain_blank.mov v001,201-010-c1b-hh_posters.mov v004,201-030-c1b-hh_vcurtain_blank.mov v001","201-010-hh_posters,090-602-a_white320_square_soft,201-005-hh_marquee,201-019-hh_ccurtains_transition,201-013-cpostersonly,201-030-hh_vcurtain_blank"
166,4_act2,CC in Place,"201-150-c02-playcardbg.mov v006,201-019-c01-hh_ccurtains_transition.mov v002,201-020-c01-hh_ccurtain_s.mov v003,201-030-c1a-hh_vcurtain_blank.mov v001,090-452-c00-a_black_square_soft.png v001","201-150-playcardbg,201-019-hh_ccurtains_transition,201-020-hh_ccurtain_s,201-030-hh_vcurtain_blank,090-452-a_black_square_soft"
168,4_act2,HH Backstage,"201-150-c02-playcardbg.mov v006,201-019-c01-hh_ccurtains_transition.mov v002,201-030-c1a-hh_vcurtain_blank.mov v001,090-452-c00-a_black_square_soft.png v001,201-030-c1b-hh_vcurtain_blank.mov v001","201-150-playcardbg,201-019-hh_ccurtains_transition,201-030-hh_vcurtain_blank,090-452-a_black_square_soft"
168.5,4_act2,Backdrop Shift,"201-019-c01-hh_ccurtains_transition.mov v002,201-030-c1a-hh_vcurtain_blank.mov v001,090-452-c00-a_black_square_soft.png v001,201-030-c1b-hh_vcurtain_blank.mov v001,201-245-c02-rosegoldcurtains.mov v003","201-019-hh_ccurtains_transition,201-030-hh_vcurtain_blank,090-452-a_black_square_soft,201-245-rosegoldcurtains"
169,4_act2,Transition to Ceasars Palace,"201-201-c01-cp_marqueeonly.mov v002,201-202-c01-cp_columnsonly.mov v001,201-247-c1a-rosegoldcurtains_puzzle.mov v006,201-247-c1b-rosegoldcurtains_puzzle.mov v005,201-245-c02-rosegoldcurtains.mov v003","201-201-cp_marqueeonly,201-202-cp_columnsonly,201-247-rosegoldcurtains_puzzle,201-245-rosegoldcurtains"
170,4_act2,Ceasers Palace,"201-406-c22-cp_marquee_mattelr.mov v001,201-201-c01-cp_marqueeonly.mov v002,201-202-c01-cp_columnsonly.mov v001,201-247-c1a-rosegoldcurtains_puzzle.mov v006,201-247-c1b-rosegoldcurtains_puzzle.mov v005,201-245-c02-rosegoldcurtains.mov v003,201-245-c22-rosegoldcurtains.mov v004","201-406-cp_marquee_mattelr,201-201-cp_marqueeonly,201-202-cp_columnsonly,201-247-rosegoldcurtains_puzzle,201-245-rosegoldcurtains"
171,4_act2,Cesears Palace Backstage,"201-247-c1a-rosegoldcurtains_puzzle.mov v006,201-247-c1b-rosegoldcurtains_puzzle.mov v005,201-245-c02-rosegoldcurtains.mov v003,201-245-c22-rosegoldcurtains.mov v004","201-247-rosegoldcurtains_puzzle,201-245-rosegoldcurtains"
173,4_act2,Transition to FB,"201-316-c01-fb_transition_goldwallopt04_ballyhoo.mov v007,201-502-c01-paparazzi_2.mov v003,090-503-c00-a_white_round_supersoft.png v001,201-371-c02-fb_ceecee_on.mov v004,201-407-c02-fb_neon_on.mov v003","201-316-fb_transition_goldwallopt04_ballyhoo,201-502-paparazzi_2,090-503-a_white_round_supersoft,201-371-fb_ceecee_on,201-407-fb_neon_on"
175,4_act2,Fontaine Bleu,"201-611-c04-fb_bway_sequinwall.mov v002,090-503-c00-a_white_round_supersoft.png v001,201-371-c02-fb_ceecee_on.mov v004,201-425-c02-fb_neon_alldance.mov v004,201-445-c11-fb_neon_shimmer.mov v002,201-445-c12-fb_neon_shimmer.mov v002,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-445-c21-fb_neon_shimmer.mov v002,201-360-c22-fb_starlights.mov v002","201-611-fb_bway_sequinwall,090-503-a_white_round_supersoft,201-371-fb_ceecee_on,201-425-fb_neon_alldance,201-445-fb_neon_shimmer,201-360-fb_starlights"
175.3,4_act2,Starlights Red,"201-371-c02-fb_ceecee_on.mov v004,201-407-c02-fb_neon_on.mov v003,201-407-c11-fb_neon_on.mov v001,201-407-c12-fb_neon_on.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-407-c21-fb_neon_on.mov v002,201-360-c22-fb_starlights.mov v002","201-371-fb_ceecee_on,201-407-fb_neon_on,201-360-fb_starlights"
175.5,4_act2,Chorus Animation,"201-371-c02-fb_ceecee_on.mov v004,201-420-c02-fb_neon_beatbumps.mov v004,201-420-c11-fb_neon_beatbumps.mov v002,201-420-c12-fb_neon_beatbumps.mov v002,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-420-c21-fb_neon_beatbumps.mov v001,201-360-c22-fb_starlights.mov v002","201-371-fb_ceecee_on,201-420-fb_neon_beatbumps,201-360-fb_starlights"
175.6,4_act2,Two Hits,"201-372-c02-fb_ceecee_2hits.mov v003,201-455-c02-neon_2hits.mov v005,201-455-c11-neon_2hits.mov v005,201-455-c12-neon_2hits.mov v004,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-455-c21-neon_2hits.mov v005,201-360-c22-fb_starlights.mov v002","201-372-fb_ceecee_2hits,201-455-neon_2hits,201-360-fb_starlights"
175.7,4_act2,Restore to ON,"201-371-c02-fb_ceecee_on.mov v004,201-407-c02-fb_neon_on.mov v003,201-407-c11-fb_neon_on.mov v001,201-407-c12-fb_neon_on.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-407-c21-fb_neon_on.mov v002,201-360-c22-fb_starlights.mov v002","201-371-fb_ceecee_on,201-407-fb_neon_on,201-360-fb_starlights"
176,4_act2,CeeCee Chase,"201-375-c02-fb_ceecee_shimmer.mov v004,201-445-c02-fb_neon_shimmer.mov v001,201-445-c11-fb_neon_shimmer.mov v002,201-445-c12-fb_neon_shimmer.mov v002,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-445-c21-fb_neon_shimmer.mov v002,201-360-c22-fb_starlights.mov v002","201-375-fb_ceecee_shimmer,201-445-fb_neon_shimmer,201-360-fb_starlights"
176.3,4_act2,Restore to ON,"201-371-c02-fb_ceecee_on.mov v004,201-407-c02-fb_neon_on.mov v003,201-407-c11-fb_neon_on.mov v001,201-407-c12-fb_neon_on.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-407-c21-fb_neon_on.mov v002,201-360-c22-fb_starlights.mov v002","201-371-fb_ceecee_on,201-407-fb_neon_on,201-360-fb_starlights"
177,4_act2,Alternating,"201-375-c02-fb_ceecee_shimmer.mov v004,201-415-c02-fb_neon_alternating.mov v004,201-415-c11-fb_neon_alternating.mov v003,201-415-c12-fb_neon_alternating.mov v002,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-415-c21-fb_neon_alternating.mov v002,201-360-c22-fb_starlights.mov v002","201-375-fb_ceecee_shimmer,201-415-fb_neon_alternating,201-360-fb_starlights"
177.3,4_act2,Neon Chase,"201-395-c02-fb_ceecee_traceedges02.mov v003,201-450-c02-fb_neon_turningon.mov v001,201-405-c11-fb_neon_turningon.mov v001,201-405-c12-fb_neon_turningon.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-405-c21-fb_neon_turningon.mov v003,201-360-c22-fb_starlights.mov v002","201-395-fb_ceecee_traceedges02,201-450-fb_neon_turningon,201-405-fb_neon_turningon,201-360-fb_starlights"
177.5,4_act2,,"201-395-c02-fb_ceecee_traceedges02.mov v003,201-435-c02-fb_neon_elementsdance.mov v003,201-435-c11-fb_neon_elementsdance.mov v001,201-435-c12-fb_neon_elementsdance.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-435-c21-fb_neon_elementsdance.mov v001,201-360-c22-fb_starlights.mov v002","201-395-fb_ceecee_traceedges02,201-435-fb_neon_elementsdance,201-360-fb_starlights"
178,4_act2,Starlights and CeeCee,"201-385-c02-fb_ceecee_rippleout.mov v002,201-435-c02-fb_neon_elementsdance.mov v003,201-435-c11-fb_neon_elementsdance.mov v001,201-435-c12-fb_neon_elementsdance.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-435-c21-fb_neon_elementsdance.mov v001,201-360-c22-fb_starlights.mov v002","201-385-fb_ceecee_rippleout,201-435-fb_neon_elementsdance,201-360-fb_starlights"
179,4_act2,Button,"201-500-c02-fb_button.mov v003,201-500-c11-fb_button.mov v001,201-500-c12-fb_button.mov v001,201-360-c13-fb_starlights.mov v002,201-360-c14-fb_starlights.mov v002,201-500-c21-fb_button.mov v001,201-360-c22-fb_starlights.mov v002","201-500-fb_button,201-360-fb_starlights"
180,4_act2,Dressing Room (RT),"202-225-c11-dressingroombgonly.mov v002,202-235-c11-dressingroomphotosonly@ceecee.mov v003,202-225-c12-dressingroombgonly.mov v002,202-235-c12-dressingroomphotosonly@ceecee.mov v003,202-225-c21-dressingroombgonly.mov v002,202-235-c21-dressingroomphotosonly@ceecee.mov v003","202-225-dressingroombgonly,202-235-dressingroomphotosonly@ceecee"
181,4_act2,Picture Up,"050-023-c02-papertexture13.mov v001,202-235-c02-dressingroomphotosonly@ceecee.mov v002,202-236-c02-photovignette.mov v001,202-225-c11-dressingroombgonly.mov v002,202-235-c11-dressingroomphotosonly@ceecee.mov v003,202-225-c12-dressingroombgonly.mov v002,202-235-c12-dressingroomphotosonly@ceecee.mov v003,202-225-c21-dressingroombgonly.mov v002,202-235-c21-dressingroomphotosonly@ceecee.mov v003","050-023-papertexture13,202-235-dressingroomphotosonly@ceecee,202-236-photovignette,202-225-dressingroombgonly"
182,4_act2,Shrink,"202-235-c02-dressingroomphotosonly@ceecee.mov v002,202-236-c02-photovignette.mov v001,202-225-c11-dressingroombgonly.mov v002,202-235-c11-dressingroomphotosonly@ceecee.mov v003,202-225-c12-dressingroombgonly.mov v002,202-235-c12-dressingroomphotosonly@ceecee.mov v003,202-225-c21-dressingroombgonly.mov v002,202-235-c21-dressingroomphotosonly@ceecee.mov v003","202-235-dressingroomphotosonly@ceecee,202-236-photovignette,202-225-dressingroombgonly"
184,4_act2,Words I Should Have Said,"202-225-c11-dressingroombgonly.mov v002,202-280-c11-photographicsonly_purple.mov v004,202-225-c12-dressingroombgonly.mov v002,202-280-c12-photographicsonly_purple.mov v005,202-225-c21-dressingroombgonly.mov v002,202-280-c21-photographicsonly_purple.mov v004","202-225-dressingroombgonly,202-280-photographicsonly_purple"
186,4_act2,BO,,
192,4_act2,Hospital,"070-012-c11-softvign.mov v002,203-113-c11-hospital_wallpaper_flat_blue.mov v003,203-113-c12-hospital_wallpaper_flat_blue.mov v003,203-102-c13-hospital_wallpaper.mov v001,203-102-c14-hospital_wallpaper.mov v001,070-012-c22-softvign.mov v002,203-102-c21-hospital_wallpaper.mov v007","070-012-softvign,203-113-hospital_wallpaper_flat_blue,203-102-hospital_wallpaper"
193,4_act2,Nuns Exit,"070-012-c11-softvign.mov v002,203-113-c11-hospital_wallpaper_flat_blue.mov v003,203-113-c12-hospital_wallpaper_flat_blue.mov v003,203-102-c13-hospital_wallpaper.mov v001,203-102-c14-hospital_wallpaper.mov v001,070-012-c22-softvign.mov v002,203-102-c21-hospital_wallpaper.mov v007","070-012-softvign,203-113-hospital_wallpaper_flat_blue,203-102-hospital_wallpaper"
194,4_act2,Littles,"090-654-c00-a_black320_square_medsoft.png v001,105-031-c22-ac_beachumbrella.mov v003,105-108-c21-littles_juststars.mov v003","090-654-a_black320_square_medsoft,105-031-ac_beachumbrella,105-108-littles_juststars"
195,4_act2,FB Dressing Room Restore(RT),"050-023-c02-papertexture13.mov v001,202-235-c02-dressingroomphotosonly@ceecee.mov v002,202-236-c02-photovignette.mov v001,202-225-c11-dressingroombgonly.mov v002,202-235-c11-dressingroomphotosonly@ceecee.mov v003,202-225-c12-dressingroombgonly.mov v002,202-235-c12-dressingroomphotosonly@ceecee.mov v003,202-225-c21-dressingroombgonly.mov v002,202-235-c21-dressingroomphotosonly@ceecee.mov v003","050-023-papertexture13,202-235-dressingroomphotosonly@ceecee,202-236-photovignette,202-225-dressingroombgonly"
